ua395|True|Digital Media Department; Collection|1994-2016|12 GB|Digital photography created by the campus photographer that documents the University at Albany, SUNY.|False|&#13;&#10;Access to this collection is unrestricted.
apap131|True|Mental Health Association in New York State, Inc. (MHANYS) Records|1879-2002|35.75 cubic ft.|A statewide network of community based Mental Health Associations focused on public education and citizen advocacy.|False|&#13;&#10;Access to this record group is unrestricted.
apap186|True|Bonowitz, Abraham J.; Papers|1977-2015|86.49 cubic ft.|For nearly two decades, Abe Bonowitz has worked to educate the public about human rights problems, in particular the death penalty and the need for alternatives to the death penalty. During this time he served in numerous director, consultant, managerial, and activist roles with leading advocacy and death penalty abolitionist organizations.|False|&#13;&#10;Access to this record group is unrestricted.
apap335|True|Hinchey, Maurice; Papers|1974-2012|212 cubic ft.|This collection documents Maurice Hinchey's service as a member of the New York State Assembly and then a United States Congressman from the Hudson Valley of New York.|False|&#13;&#10;Per the memorandum of agreement governing this collection, all constituent casework files and any materials related to organized crime are closed until January 1, 2043. Even following this date, no constituent casework files may be photocopied, scanned or duplicated in any way.&#13;&#10;&#13;&#10; Access to this entire collection, however, is currently restricted because it is unprocessed. Other portions of the collection may also contain recent administrative records and/or personally identifiable information. Please contact an archivist for more information.
ua760|False|University Relations, Office of; Records|1960-1994|42 cubic ft.|Contains records form the Office of University Relations and its predecessors (Office of Public Relations and Office of Community Relations).  Includes, clippings, press releases, publications, and administrative records.|False|&#13;&#10;Access to this collection is restricted because it is unprocessed. Portions of the collection may contain recent administrative records and/or personally identifiable information. Please contact an archivist for more information.
apap215|True|DeSole, Gloria; Papers|ca. 1969-1984|1.2 cubic ft.|Gloria DeSole served as senior adviser to the President for Affirmative Action and Employment Planning and Director of Affirmative Action (1982-2000) at the University at Albany, SUNY before retiring in 2000. DeSole began working at the University in 1976 as associate director of the Affirmative Action Office. Prior to that she was an English professor at Skidmore College. DeSole earned bachelor's and Ph.D. degrees from the University at Albany and earned a master's degree from Columbia University. The collection includes materials related to the women's movement with an emphasis on the Capital Region of New York. DeSole collected material related to projects in Albany, speeches, and publications.|False|&#13;&#10;Access to this record group is unrestricted.
ua950.022|True|Organizational Charts Collection|1930-2017|85 Digital Files|Contains University-wide, divisional, and departmental organizational charts produced between 1930 and the present day.|False|&#13;&#10;Access to this collection is unrestricted
apap333|True|Sigma Pi Phi, Beta Psi Boulé; Records|1983-2017|9.96 cubic ft.|The Sigma Pi Phi, Beta Psi Boulé Records document the history and day-to-day operations of the Beta Psi Boulé. A professional fraternity, Sigma Pi Phi was founded on May 15, 1904 in Philadelphia, Pennsylvania and its members are distinguished African American men with college and graduate degrees. Beta Psi is the fraternity’s 69th Boulé founded on May 5, 1984 in the Capital District of New York.|False|&#13;&#10;Access to this record group is unrestricted with the exception of select files located in Series 1, including the official meeting minutes of the organization.
apap009|True|American Society for Public Administration (ASPA), Capital District Chapter; Records|1952-1989|9.5 cubic ft.|Founded to encorage and advance training and professionalism in public administration for New York State|False|&#13;&#10;Access to this record group is unrestricted.
apap010|True|International Union of Bricklayers & Allied Craftsmen, Local 16; Records|1886-1930|0.6 cubic ft.|This collection contains meeting minutes from Bricklayers Local 16, Schenectady, NY.|False|&#13;&#10;Access to this record group is unrestricted.
